Title:,Graduation Rate from the Graduation Rates - All  Students at Postsecondary Schools (2011 - Current) Database,,,,,,,,,,,,,,,,,,,,,,
SubTitle:,All Institutions - Gender: All Genders - Race: All Races/Ethnicities,,,,,,,,,,,,,,,,,,,,,,
Time:,2011 - 2019,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure:,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,
Citation:,National Center for Education Statistics (2021-10-22). Graduation Rate: Graduation Rate | Binghamton University,Canisius College,Colgate University,Columbia University,Cornell University,Fordham University,Hofstra University,Iona College,Long Island University,Manhattan College,Marist College,Niagara University,Siena College,St Bonaventure University,St Francis College,St John's University-New York,Stony Brook University,SUNY at Albany,Syracuse University,United States Military Academy,University at Buffalo,Wagner College | All Genders | All Races/Ethnicities,"2011 - 2019. Data Planet™ Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-025-003 doi:https://doi.org/10.6068/DP17D399B4EEA14"""
ColumnCount:,23,,,,,,,,,,,,,,,,,,,,,,
RowCount:,9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Time,Binghamton University,Canisius College,Colgate University,Columbia University,Cornell University,Fordham University,Hofstra University,Iona College,Long Island University,Manhattan College,Marist College,Niagara University,Siena College,St Bonaventure University,St Francis College,St John's University-New York,Stony Brook University,SUNY at Albany,Syracuse University,United States Military Academy,University at Buffalo,Wagner College,
2011,77.01,66.67,91.63,92.8,93.49,77.62,57.87,57.47,42.6,72.29,80.33,64.93,73.79,62.89,49.9,57.44,67.27,64.49,80.17,82.94,71.13,67.01,
2012,79.42,68.26,89.64,95.05,93.35,81.03,60.79,64.67,42.41,74.65,80.25,67.38,73.4,63.83,51.9,58.59,69.68,64.37,81.67,83.2,70.39,65.78,
2013,80.77,67.49,90.86,93.29,93.34,80.51,62.12,62.58,39.02,73.73,80.37,65.13,79.64,66.6,52.09,55.7,65.93,66.38,81.08,83.87,72,61.36,
2014,80.93,67.91,92.4,94.69,93.2,80.02,59.99,58.41,40.67,75.07,78.19,64.09,79.85,68.03,54.77,58.75,68.57,66.01,80.35,80.37,71.89,65.97,
2015,80.95,69.87,89.6,95.18,93.48,80.51,59.97,65.91,48.9,72.15,78.19,62.89,75.1,64.3,52.07,58.01,68.34,67.96,81.36,83.43,73.68,64.33,
2016,83.01,70.78,89.87,94.11,93.88,79.62,63.62,68.31,46.06,70.82,83.36,66.77,74.87,63.77,52.42,58,72.37,65.91,82.21,85.9,74.36,67.29,
2017,82.31,69.34,91.23,95.14,93.39,79.46,63.05,64.41,47.32,75.19,83.65,67.62,78.16,68.71,47.14,57.92,71.81,65.03,82.72,85.68,75.28,70.21,
2018,81.43,68.5,88.89,95.82,94.52,83.32,62.56,66.76,45.71,73.52,82.79,70.69,74.08,68.45,54.7,60.79,73.78,63.62,82.85,85.17,75.52,69.01,
2019,81.59,73.19,90.65,95.49,94.53,82.74,64.79,64.43,46.3,70.86,84.33,72.7,79.74,74.2,57.88,62.79,76.36,62.91,82.68,84.79,75.19,71.4,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Publisher:,"""National Center for Education Statistics""",,,,,,,,,,,,,,,,,,,,,,
Copyright:,"""The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version.""",,,,,,,,,,,,,,,,,,,,,,
